
2025-03-14 at 09:54:58 | INFO | Пользователь Kitty, запустил бота
2025-03-14 at 13:09:08 | INFO | Опублекован анекдот: - Когда у вас обедают? - интересуются гости у шестилетнего Мони Рабиновича. - Как правило, в три часа, - отвечает тот. - А если у нас гости, то после того, как они уйдут.
2025-03-14 at 13:09:11 | INFO | Опублекован анекдот: - Мама, а мы - подданные России? - Нет, доченька. Подданные - это те, кого держат под данью. А нас просто обложили налогами. - Значит, мы - наложницы?
2025-03-14 at 13:09:14 | INFO | Опублекован анекдот: - Ты что, не мог купить нормальный КРУПНОЛИСТОВОЙ чай? Нахера нам эта  пыль грузинских дорог???- Это Ахмад!- Хорошо. Нафига нам эта пыль английских дорог? Тем более, что там чай и  не растет!
2025-03-14 at 13:09:18 | INFO | Опублекован анекдот: - В чём выросли зарплаты в Москве по сравнению с 2013-м годом? В долларах? В рублях? - В мечтах.
2025-03-14 at 13:09:21 | INFO | Опублекован анекдот: Отключите мне интернет!!! Я хочу перед Пасхой убрать ёлку!
2025-03-14 at 13:09:24 | INFO | Опублекован анекдот: Путин принял участие в заседании Академии Наук и сделал 8-10 научных открытий.
2025-03-14 at 13:09:27 | INFO | Опублекован анекдот: Любовь - это когда смотришь на жену и думаешь: "Убил бы гадину!", а сам при этом всё одеялко ей поправляешь, чтобы не замёрзла, сука...
2025-03-14 at 13:09:31 | INFO | Опублекован анекдот: У Ким Чен Ына и Трампа так улучшились отношения, что на встречу во Вьетнаме первый приехал на бронепоезде, а второй - в бронежилете.
2025-03-14 at 13:09:34 | INFO | Опублекован анекдот: Глядя, как бабушка моет пол, маленький мистер Пропер решил изобрести универсальное чистящее средство. Годы шли, Пропер дожил до седых волос (и даже бровей), а бабушка все также моет полы. И кто он после этого?
2025-03-14 at 13:09:37 | INFO | Опублекован анекдот: Меня одного так раздражают эти новомодные слова: маффины, панкейки?Это кексики и оладушки!Хипстеры хреновы!
2025-03-14 at 13:09:40 | INFO | Опублекован анекдот: Поймал мужик Золотую рыбку и говорит ей: - Мне ничего не надо! Только скажи моей, что я действительно на рыбалке...
2025-03-14 at 13:09:44 | INFO | Опублекован анекдот: Газпром, Роснефть, Россети отваливают кучу бабла, чтобы наши замечательные спортсмены не уезжали за рубеж, а радовали нас здесь.Тысячи самых талантливых ученых, инженеров, программистов уезжают, и это как-то никого особо не волнует. Что вполне объяснимо – чахлые тела и дряблые мышцы этих хлюпиков вообще на хрен не нужны нашей инновационной экономике.
2025-03-14 at 13:09:47 | INFO | Опублекован анекдот: Дорогая, если у тебя будут какие либо проблемы, ты можешь в любой момент мне написать и я сразу же найду тебе утешительный мем.
2025-03-14 at 13:09:50 | INFO | Опублекован анекдот: Единица накуренности в помещении - 1 КУР - это когда платино-иридиевыйтопор массой 1 килограмм висит на расстоянии 1 метр от пола.
2025-03-14 at 13:09:53 | INFO | Опублекован анекдот: Бросил в фонтан рубль и загадал желание бросить курить. Не сдержался, зашёл в магазин, набрал еды, взял пачку сигарет.На кассе не хватило рубля...
2025-03-14 at 13:09:57 | INFO | Опублекован анекдот: Дама в зоопарке спрашивает у служащего:- Извините, вы не скажете, этот бегемот в клетке - самец или самка?- Мадам! Мне всегда казалось, что это может быть интересно только  другому бегемоту...
2025-03-14 at 13:10:00 | INFO | Опублекован анекдот: Семинаp по высшей математике, где-то ближе к концу семестpа, ведет егомолодая симпатичная... (ну сами понимаете).Вопpос из зала:- А где мы с вами можем встpетиться после экзамена?Ответ:- Hа пеpесдаче.
2025-03-14 at 13:10:03 | INFO | Опублекован анекдот: Один мужик привился, когда жена была беременна, а потом ребенок родился и оказался генетически не родственником этого мужика!А потом нам рассказывают, что вакцина ДНК не меняет.
2025-03-14 at 13:10:06 | INFO | Опублекован анекдот: Самое сильное влияние на улучшение памяти оказывает..... уличная обувь. Как только её надеваешь - сразу вспоминаешь всё, что забыл взять с собой выходя из дома
2025-03-14 at 13:10:10 | INFO | Опублекован анекдот: Зима 41-го. Битва за Москву. Из горящих фашистских танков вываливаются немцы и падают в сугробы... Но спустя не более минуты, обалдевшие, поднимаются и лезут обратно в горящие танки...
2025-03-14 at 13:10:13 | INFO | Опублекован анекдот: Путин на пресс-конференции заявил, что в 2008 году страной будетуправлять уже другой человек. А помощник Путина добавил, что поединодушному мнению Запада, за восемь лет своего президентства,Владимир Владимирович стал совсем другим человеком.
2025-03-14 at 13:10:16 | INFO | Опублекован анекдот: Надпись на асфальте:- Просто осталась краска…
2025-03-14 at 13:10:20 | INFO | Опублекован анекдот: - В прошлом году он послал свою фотографиюв Клуб одиноких сердец. Они прислали ему ее обратно.Они написали, что они не настолько одиноки...
2025-03-14 at 13:10:23 | INFO | Опублекован анекдот: Наконец-то выяснена причина отсутствия связи с марсианским спускаемымаппаратом. Через телескоп Хаббл удалось рассмотреть панель управления,на которой мигает - PRESS ANY KEY TO CONTINUE
2025-03-14 at 13:10:26 | INFO | Опублекован анекдот: Конец декабря, но вы не чувствуете приближения праздника?! Не волнуйтесь, сейчас главное - чувствовать вкус и запах!
2025-03-14 at 13:10:29 | INFO | Опублекован анекдот: Когда на работе вокруг одни гуманитарии и чтобы разделить 20 на 5 запускают калькулятор, начинаешь понимать, что такое "гуманитарная катастрофа"...
2025-03-14 at 13:10:32 | INFO | Опублекован анекдот: Америка, как и в 1944 году, решила, что уже пора помогать победителю.
2025-03-14 at 13:10:36 | INFO | Опублекован анекдот: Падает большой самолет.Один пассажир говорит:- Это же надо так ухитриться - набрать полный самолет неудачников.
2025-03-14 at 13:10:39 | INFO | Опублекован анекдот: Главным тренером сборной России по футболу назначен Сидоров Петр Васильевич - учитель физкультуры из Мытищ, с оплатой по 12 разряду единой тарифной сетки.Как пояснили в Российскои футбольном союзе - "если не видно разницы - зачем платить больше".
2025-03-14 at 13:10:42 | INFO | Опублекован анекдот: Надпись на асфальте:- Просто осталась краска…
2025-03-14 at 13:10:45 | INFO | Опублекован анекдот: - Готовы пройти тест на IQ?- А сколько километров нужно пройти?- Тест завершён.
2025-03-14 at 13:10:49 | INFO | Опублекован анекдот: До женитьбы я и не подозревал, что можно неправильно поставить молоко в холодильник.
2025-03-14 at 13:10:52 | INFO | Опублекован анекдот: Дети! Тщательно взвешивайте и обдумывайте слова, которые вы произносите вслух. Так, фраза: "Папа, ты хороший!" тянет максимум на китайский игрушечный пистолет. А вот фраза "Папа, я хочу быть таким же умным, как и ты!" - это уже серьёзная заявка на велосипед...
2025-03-14 at 13:10:55 | INFO | Опублекован анекдот: Во-первых, женщина должна быть умной! Но лучше, если во-вторых.
2025-03-14 at 13:10:59 | INFO | Опублекован анекдот: Охота – это спорт! Особенно когда патроны закончились, а кабан ещё жив.
2025-03-14 at 13:11:02 | INFO | Опублекован анекдот: - Подумай, дорогая, десять лет - и ни одной ссоры!- Знаю, трус несчастный!
2025-03-14 at 13:11:05 | INFO | Опублекован анекдот: Ты молод, образован, полон идей, жаждешь работать и зарабатывать, но не знаешь с чего начать? Жаль.
2025-03-14 at 13:11:08 | INFO | Опублекован анекдот: Премьер-министр Исландии Гримссон Йоханна Сигурдардоттир встретилась всвоей резиденции с президентом Намибии Хификепунье Пахамба. Оба сделаливид, что отлично помнят, как зовут собеседника.
2025-03-14 at 13:11:12 | INFO | Опублекован анекдот: - Почему дешевеют русские проститутки на Западе?- Спрос удовлетворен.- Это как?- Заебали они уже всех!
2025-03-14 at 13:11:15 | INFO | Опублекован анекдот: Счастливый брак - это когда вообще бессмысленно заправлять кровать на выходные.
2025-03-14 at 13:11:18 | INFO | Опублекован анекдот: Дионис никогда не болел с похмелья, именно поэтому греки считали его Богом.
2025-03-14 at 13:11:21 | INFO | Опублекован анекдот: В автобусе бабулька с цветочным горшком, проталкиваяськ выходу, спрашивает мужика, стоящего у дверей:- Вы сходите?Мужик в состоянии задумчивости оборачивается, некотороевремя смотрит на горшок:- Нет, я до дома потерплю...
2025-03-14 at 13:11:25 | INFO | Опублекован анекдот: Всё заметнее, как человек разумный постепенно превращается в человека гуглящего.
2025-03-14 at 13:11:28 | INFO | Опублекован анекдот: Взрослость - это когда результатов анализа крови боишься гораздо больше, чем самого анализа.
2025-03-14 at 13:11:31 | INFO | Опублекован анекдот: Взрослость - это когда результатов анализа крови боишься гораздо больше, чем самого анализа.
2025-03-14 at 13:11:35 | INFO | Опублекован анекдот: При Путине компьютеры стали в три раза быстрее.
2025-03-14 at 13:11:38 | INFO | Опублекован анекдот: Мало кто слышал о народной примете, что в месяце, который начинается в воскресенье, обязательно будет пятница 13-е.
2025-03-14 at 13:11:41 | INFO | Опублекован анекдот: — Кто хочет стать миллионером? Отвечать будет Александр Друзь.— Господин судья, хватит издеваться.
2025-03-14 at 13:11:44 | INFO | Опублекован анекдот: Я думал, что к 30-ти годам я буду разъезжать на жёлтом "Ламборджини". А сейчас радуюсь жёлтым ценникам в "Пятёрочке".
2025-03-14 at 13:11:48 | INFO | Опублекован анекдот: — Кто хочет стать миллионером? Отвечать будет Александр Друзь.— Господин судья, хватит издеваться.
2025-03-14 at 13:11:51 | INFO | Опублекован анекдот: Счастливый брак - это когда вообще бессмысленно заправлять кровать на выходные.
2025-03-14 at 13:11:54 | INFO | Опублекован анекдот: А зачем волноваться, когда поздно беспокоиться?
2025-03-14 at 13:11:57 | INFO | Опублекован анекдот: Решил мат больше не употре
2025-03-14 at 13:12:01 | INFO | Опублекован анекдот: Только в России додумались назвать процесс отмывания бюджетных денег"нанотехнологией".
2025-03-14 at 13:12:04 | INFO | Опублекован анекдот: Самое главное заблуждение дурака на дороге - думать, что он здесь такой один.
2025-03-14 at 13:12:07 | INFO | Опублекован анекдот: xxx: - Представляешь? Каждый день ссоры! То постель не убрал, то собакуне выгулял, то посуду не помыл, то зарабатываю мало!ууу: - Так, а по морде?!ххх: - Да не, руки, слава Богу, ещё не распускает...
2025-03-14 at 13:12:11 | INFO | Опублекован анекдот: На Новый 2016 год в Россию пришел Дед Тепло и его внучка Дождиночка. (c) Sj
2025-03-14 at 13:12:14 | INFO | Опублекован анекдот: Вовочка играл со спичками и проиграл трёхкомнатную квартиру.
2025-03-14 at 13:12:17 | INFO | Опублекован анекдот: А прикиньте, что сейчас чувствуют люди, которые когда-то решили: "Пойду, отслужу годик, чтоб отстали!"
2025-03-14 at 13:12:20 | INFO | Опублекован анекдот: Пчёлы не тратят время на мух, объясняя им, что мёд лучше говна. И вы не тратьте.
2025-03-14 at 13:12:24 | INFO | Опублекован анекдот: А прикиньте, что сейчас чувствуют люди, которые когда-то решили: "Пойду, отслужу годик, чтоб отстали!"
2025-03-14 at 13:12:27 | INFO | Опублекован анекдот: Покупатель:- Вы мне колбаски, грамм 200 не взвесите?Продавец (индифферентно):- А ничё, что это строительный магазин?Покупатель:- А ничё.Продавец:- Лады. Давайте вашу колбаску, взвешу.
2025-03-14 at 13:12:30 | INFO | Опублекован анекдот: - А вакцинация будет добровольной или принудительной?- Захотите - добровольной, не захотите - принудительной.
2025-03-14 at 13:12:33 | INFO | Опублекован анекдот: В Аду Дьявол добрый и заботливый. А вот его подчиненные - злые как черти.
2025-03-14 at 13:12:37 | INFO | Опублекован анекдот: Ссора с мужем. На эмоциях сказала ему, чтобы забирал свое и уходил. Он достал чемодан и начал запихивать туда меня. Так и помирились.
2025-03-14 at 13:12:40 | INFO | Опублекован анекдот: И сказала Фея Золушке: - А через шесть часов после полуночи волшебство отпустит и начнётся сушняк!
2025-03-14 at 13:12:43 | INFO | Опублекован анекдот: Вот и прошёл очередной день без яхты, вертолёта, замка и деревни с крепостными…)))
2025-03-14 at 13:12:46 | INFO | Опублекован анекдот: Для русского человека минус 40 градусов - это когда разбивается бутылка водки.
2025-03-14 at 13:12:50 | INFO | Опублекован анекдот: - Почему принято встречать Новый год в красном?! Ведь обезьяна не красная!- У неё красная задница. Вот таким и будет следующий год...
2025-03-14 at 13:12:53 | INFO | Опублекован анекдот: Вот как в мире живой природы происходит? Одна особь поедает другую! А была бы у них прокуратура? Было бы то же самое, только с волокитой!
2025-03-14 at 13:12:56 | INFO | Опублекован анекдот: - Вовочка, ну разве можно так говорить дяде?! Ведь дядя намного старше тебя.- А как надо?- Не иди, а идите нахуй!
2025-03-14 at 13:12:59 | INFO | Опублекован анекдот: Молодая бухгалтеpша устpаивается на pаботу. Диpектоp ей наказывает:- Будьте внимательны, каждую сумму пеpесчитайте дважды.Чеpез некотоpое вpемя заходит, а она и говоpит:- Я пеpесчитала все по десять pаз.- Молодец! Люблю стаpательных pаботников.- Вот вам десять итогов.
2025-03-14 at 13:13:03 | INFO | Опублекован анекдот: Птицы, конечно, тоже несут яйца, но самцы человека делают это с гордостью.
2025-03-14 at 13:13:06 | INFO | Опублекован анекдот: Наши родители посылали капсулы времени, как им думалось, в будущее. А на деле оказалось - из будущего в прошлое...
2025-03-14 at 13:13:09 | INFO | Опублекован анекдот: После обследования у врача.- Доктор, скажите, что у меня!- У вас может быть все, что угодно: от редкой формы болезни  Паркера-Скотта до банальной простуды. Все зависит от вашего  материального положения.
2025-03-14 at 13:13:12 | INFO | Опублекован анекдот: Прочитал тут в одном журнале "Сильным женщинам трусы не нужны". Задумался, куда поставить ударение...
2025-03-14 at 13:13:16 | INFO | Опублекован анекдот: Если честно, то я не знаю, что сейчас страшнее: померить температуру или взвеситься.
2025-03-14 at 13:13:19 | INFO | Опублекован анекдот: Четыре стадии опьянения:1. Пришёл.2. Приполз.3. Принесли.4. Принесли, но не туда.
2025-03-14 at 13:13:22 | INFO | Опублекован анекдот: Никогда не оборачивайтесь назад. Если бы Золушка вернулась за туфелькой, она бы не стала принцессой.
2025-03-14 at 13:13:26 | INFO | Опублекован анекдот: Собеседование в отделе кадров на заводе.- Каковы ваши слабые стороны?- Выпить люблю.- А сильные?- Могу много выпить.
2025-03-14 at 13:13:29 | INFO | Опублекован анекдот: Спросил как-то мальчик у своих родителей, что такое минет.Те переглянулись и решили - уж лучше он от нас узнает, чем где-тона улице.Мама:- Нууу... Это когда в рот берут.Тут сразу такая подача в челюсть!Папа:- Дура! Не берут, а дают. У нас сын растет.
2025-03-14 at 13:13:32 | INFO | Опублекован анекдот: Как все меняется: раньше, если говорили “честь имею” – это означало, чтоу человека есть честь, теперь это означает, что с честью делают что-тонепотребное.
2025-03-14 at 13:13:35 | INFO | Опублекован анекдот: - Сын, как у тебя дела с математикой?- Папа, нормально! Сегодня получил пять плюс четыре минус семь.
2025-03-14 at 13:13:39 | INFO | Опублекован анекдот: Что ты знаешь про обломы ?! В нашем полку за 2 года службы котлеты давали 2 раза - на 7 ноября. И один раз я пропустил...
2025-03-14 at 13:13:42 | INFO | Опублекован анекдот: Мы своего начальника готовы на руках носить… но в горизонтальном положении и в деревянном ящике.
2025-03-14 at 13:13:45 | INFO | Опублекован анекдот: Всегда уступайте в малом, тогда у вас будет преимущество не уступить в большом.
2025-03-14 at 13:13:48 | INFO | Опублекован анекдот: В больнице "хиpуpгия глаза" идут пpиготовления к опеpации: больнойложится на опеpационный стол, вpач склоняется над его головойсо скальпелем в pуке. Тут больной тpевожно шепчет: "Доктоp,а ведь вспомните: пpошлая  опеpация закончилась кpайне неудачно!".Вpач в ответ: "А кто стаpое помянет..."
2025-03-14 at 13:13:52 | INFO | Опублекован анекдот: Бог конечно прощает всех, просто некоторых особо изощрённо.
2025-03-14 at 13:13:55 | INFO | Опублекован анекдот: Поймал мужик Золотую рыбку и говорит ей: - Мне ничего не надо! Только скажи моей, что я действительно на рыбалке...
2025-03-14 at 13:13:58 | INFO | Опублекован анекдот: — Мне всегда говорили: если любишь — отпусти… — Бля, Петрович, какой, нахуй, отпусти? Я же упаду, тут двадцать метров, держи трос!
2025-03-14 at 13:14:02 | INFO | Опублекован анекдот: Современная наука утверждает, что в дни солнечных затмений наши дикие предки выползали из своих пещер, слепо таращились на солнце, издавали нечленораздельные звуки и фотографировали процесс на мобильники. Самые тупые - со вспышкой.
2025-03-14 at 13:14:05 | INFO | Опублекован анекдот: - Давайте обклеим эту херню какой-нибудь хуйней.- А вы точно дизайнер?
2025-03-14 at 13:14:08 | INFO | Опублекован анекдот: Интересно, сколько нужно заплатить в нашей стране за то, чтобы занятьдолжность, предназначенную для борьбы с коррупцией?                                                            © konde13
2025-03-14 at 13:14:11 | INFO | Опублекован анекдот: Много будешь знать, вместо жены будешь жить с хрустальной совой.
2025-03-14 at 13:14:15 | INFO | Опублекован анекдот: Ну и что, что морда опухшая, зато морщины разгладились.
2025-03-14 at 13:14:18 | INFO | Опублекован анекдот: 1980-е годы. Провинциальная газета переживает не лучшие времена. Главный редактор собрал всех журналистов на совещание, задаёт вопрос как исправить бедственное положение. Один из журналистов:- А давайте я буду вести колонку, где буду подробно ежедневно описывать свой день? Что я поел, куда сходил, о чем думал - с фотографиями?Главный редактор: - Что за бред? Кому это будет интересно? Может ещё будем писать как ты посрал?Журналист, насупившись: - Ничего... Придет ещё моё время...
2025-03-14 at 13:14:21 | INFO | Опублекован анекдот: Капитан турецкого судна приказал матросу Петрову выдраить палубу, иуслышав ответ "Ага, сейчас!" наивно пошёл дальше...
2025-03-14 at 13:14:24 | INFO | Опублекован анекдот: Некоторым людям для того чтобы почувствовать себя великим, достаточновыучить сопромат и устроиться преподавателем.
2025-03-14 at 13:14:28 | INFO | Опублекован анекдот: Надо теперь переименовать Нур-султан в Елбасы-кала (город елбасы), и тогда это название станет вечным, при любом елбасы.
2025-03-14 at 13:14:31 | INFO | Опублекован анекдот: Президент Медведев собрал пенсионеров и спрашивает: пенсии-то вамхватает?Пенсионеры: хватает!Президент: ну, а что-нибудь остаётся?Пенсионеры: остаётся!Президент: а то что остаётся куда деваете?Пенсионеры: проедаем!
2025-03-14 at 13:14:34 | INFO | Опублекован анекдот: Правительство России разыскивает международный суд, готовый принятьпостановление о том, что Украина обязана платить Газпрому за транзитгаза через территорию Украины. Ведь принял же верховный суд Россиирешение, обязывающее жильцов первых этажей платить за лифт.
2025-03-14 at 13:14:38 | INFO | Опублекован анекдот: - Кстати, взял кредит, хочу сделать пластическую операцию.- А зачем тебе пластическая операция?- Чтобы кредит не отдавать!
2025-03-14 at 13:14:41 | INFO | Опублекован анекдот: - Яша, я купила тебе на галстук отрез шикарного шёлка! - Сарочка! Ну зачем мне шёлковый галстук?! И таки почему так много шёлка - целый отрез? - Не переживай, дорогой! Из остатков мы сошьём мне костюмчик...
2025-03-14 at 13:14:44 | INFO | Опублекован анекдот: У женщин пик ceкcуальности - в 30-35 лет, а у мужчин - в 8 утра.
2025-03-14 at 13:14:47 | INFO | Опублекован анекдот: За одну ночь жизнь изменить нельзя. Но за одну ночь можно изменить мысли, которые навсегда изменят твою жизнь.
2025-03-14 at 13:14:51 | INFO | Опублекован анекдот: Любовь - это когда ты спишь, а на тебя смотрят и умиляются.© Малый Кыс
2025-03-14 at 13:14:54 | INFO | Опублекован анекдот: - Владимир Владимирович, может еще 500 миллиардов дадим на  стабилизацию фондового рынка?- Зачем это? Прошлые не помогли, пропали куда-то.- Так чиновники просят, экономику поднимать дальше хотят, говорят  понравилось.
2025-03-14 at 13:14:57 | INFO | Опублекован анекдот: В Украине ввели новый дорожный знак "ДОРОГА", чтобы убеждатьнедоверчивых.                                                    (c) Роби
2025-03-14 at 13:15:00 | INFO | Опублекован анекдот: Что вам напоминает выступление сборной России по футболу на ЧМ-2014 в Бразилии?Выступление "Бурановских бабушек" на бразильском карнавале.
2025-03-14 at 13:15:04 | INFO | Опублекован анекдот: Заменив утренний кофе на зеленый чай, вы можете потерять до 87% той небольшой радости, которая у вас осталась в жизни.
2025-03-14 at 13:15:07 | INFO | Опублекован анекдот: Менделеев, Ломоносов, Пушкин, Толстой. А если люди, которых можно поставить в один ряд с перечисленными, но которые учились позже, уже после отмены в школах розг?
2025-03-14 at 13:15:10 | INFO | Опублекован анекдот: Судят американца, ирландца и русского за убийство...Судья объявляет приговор: каждому - по двадцать лет в одиночке.Но так как убитый был ну очень нехороший человек, они могут взятьс собой что угодно (в пределах разумного, конечно).Американец взял жену, ирландец - двадцатилетний запас виски,а русский, не мудрствуя лукаво, сигарет на двадцать лет...Прошел срок, всех выпускают.Американец выходит счастливый, с женой и тремя детьми,ирландец вообще выходить не хочет, к себе выпить зовет...Открывают камеру русского. Он там сидит, бедный, осунулся, постарел,и тихо так спрашивает:- Ребят, огоньку не найдется?...
2025-03-14 at 13:15:14 | INFO | Опублекован анекдот: Курилки возвращаются в аэропорты. Давайте присвоим им имена великих российских курильщиков!
2025-03-14 at 13:15:17 | INFO | Опублекован анекдот: Приходит Чебурашка к Гене и говорит:- Ген, вот мы же с тобой известные личности!- Ну да.- Но в мультипликации мы достигли всего, и хотелось бы двигаться дальше.- В общем согласен.- А давай мы в шоу-бизнес пойдём! Я буду певцом, а ты меня будешь  продюсировать. Может на Евровидение пройдём. У нас же и песен  популярных полно, чтоб стартовать, а? ...- Знаешь, Чебурашка, давай мы лучше строительством займёмся - благо  опыт есть. А пидорами стать, при нашей-то известности, мы всегда успеем.
2025-03-14 at 13:15:20 | INFO | Опублекован анекдот: Менделеев, Ломоносов, Пушкин, Толстой. А если люди, которых можно поставить в один ряд с перечисленными, но которые учились позже, уже после отмены в школах розг?
2025-03-14 at 13:15:23 | INFO | Опублекован анекдот: - Розочка, а кем вам приходится Соломон Маркович?- Ой, вы знаете, он такой настойчивый! Вот и приходится…
2025-03-14 at 13:15:27 | INFO | Опублекован анекдот: - Ватсон, а что это вы курите? Дайте угадаю - табак "Королева Вирджиния"  с листочками вишни, из юбилейного выпуска в бархатной упаковке?- Поразительно, Холмс! Как это вы угадали?- Ей-богу, Ватсон! Ну не миссис Хадсон же спиздила из моей комнаты  последнюю пачку!
2025-03-14 at 13:15:30 | INFO | Опублекован анекдот: - Девушка, может быть мартини или шампанского?- Да он приезжий, - радостно подумала Анжела.
2025-03-14 at 13:15:33 | INFO | Опублекован анекдот: Как же долго теперь люди-то живут, Господи!Мечтал дожить до того дня, когда можно будет получить по телевизору правдивую информацию в разделе "Погода".Дожил - до того дня, когда правдивую информацию только там и можно получить.
2025-03-14 at 13:15:36 | INFO | Опублекован анекдот: По мере накопления жизненного опыта люди, говорившие, что диплом - это просто бумажка, начинают подозревать что между этой фразой и поговоркой: "Без бумажки ты букашка, а с бумажкой человек" есть какая-то связь.
2025-03-14 at 13:15:40 | INFO | Опублекован анекдот: - Просто поражаюсь, - обращается муж к жене, - неделю назад купил новую рубашку, а воротничок уже мал...- Я тоже поражаюсь, - качает головой жена, - как это ты умудрился просунуть голову в рукав?
2025-03-14 at 13:15:43 | INFO | Опублекован анекдот: Никогда не делайте много дел сразу, можете обделаться.
2025-03-14 at 13:15:46 | INFO | Опублекован анекдот: К среднему классу у нас обычно относят себя два типа людей: те, кто не хотят признавать, что они бедные, и те, кто хочет скрыть, что на самом деле они богатые!
2025-03-14 at 13:15:49 | INFO | Опублекован анекдот: Теперь Пересильд - Первая Космическая девушка по Вызову!
2025-03-14 at 13:15:53 | INFO | Опублекован анекдот: В борьбе с реальностью достигнуты фантастические успехи!
2025-03-14 at 13:15:56 | INFO | Опублекован анекдот: Если женщина говорит: "Ты загубил мою молодость" - сама дура. Если: "Ты губишь нашу старость" - тут есть, о чём подумать.
2025-03-14 at 13:15:59 | INFO | Опублекован анекдот: Иногда хорошее настроение передаётся только половым путём.
2025-03-14 at 13:16:03 | INFO | Опублекован анекдот: У всех же есть дома чашка, которая определённо чем-то лучше, чем остальные 20?
2025-03-14 at 13:16:06 | INFO | Опублекован анекдот: – Сколько вам лет?– Восемнадцать.– Но два года назад вы говорили то же самое.– Я не из тех, кто говорит сегодня одно, а завтра другое.
